dataset_accession,expression_column,sample_geo_accession,sample_title,diagnosis_clean,n_features,missing_values,missing_fraction,mean,sd,min,q1,median,q3,max,iqr,median_mad_z,iqr_mad_z,qc_flag
GSE63060,4856076040_E,GSM1539180,4856076040_E,Control,38322,0,0,7.91215065146524,0.958721015661945,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076002_G,GSM1539181,4856076002_G,Control,38322,0,0,7.91215235920296,0.958720297857809,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856050058_G,GSM1539182,4856050058_G,Control,38322,0,0,7.91215555981817,0.958718638495201,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076002_F,GSM1539183,4856076002_F,Control,38322,0,0,7.91215131253113,0.958720751620629,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076003_A,GSM1539184,4856076003_A,Control,38322,0,0,7.91215396029414,0.958719519019511,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856050007_I,GSM1539185,4856050007_I,Control,38322,0,0,7.91215558333044,0.958718624889646,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076025_A,GSM1539186,4856076025_A,AD,38322,0,0,7.91215605574526,0.958718344762131,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856050046_J,GSM1539187,4856050046_J,AD,38322,0,0,7.91215391497234,0.958719542463363,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076002_I,GSM1539188,4856076002_I,AD,38322,0,0,7.91215486412656,0.958719034057911,7.20448891,7.450976393,7.5432298705,7.85378973725,15.04978951,0.402813344249999,0,0.717617007568958,pass
GSE63060,4856076007_I,GSM1539189,4856076007_I,AD,38322,0,0,7.91215089146532,0.958720921847407,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076026_I,GSM1539190,4856076026_I,AD,38322,0,0,7.91215494905509,0.958718986793532,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076025_B,GSM1539191,4856076025_B,AD,38322,0,0,7.91215136772802,0.958720728812962,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076027_A,GSM1539192,4856076027_A,AD,38322,0,0,7.91215403352015,0.958719480881301,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076026_G,GSM1539193,4856076026_G,AD,38322,0,0,7.91215324250535,0.95871988083629,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076030_L,GSM1539194,4856076030_L,AD,38322,0,0,7.91215196055151,0.958720475864257,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076028_L,GSM1539195,4856076028_L,AD,38322,0,0,7.91215287447265,0.958720058397528,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076042_C,GSM1539196,4856076042_C,AD,38322,0,0,7.91214973687762,0.958721352108282,7.20448891,7.45096596975,7.54321732,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076008_C,GSM1539197,4856076008_C,AD,38322,0,0,7.91214931346882,0.958721496617873,7.20448891,7.450968147,7.54321732,7.85378973725,15.04978951,0.402821590249999,0,0.717617007568958,pass
